work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,Cumulative_Savings10%_of_their_salary_annually
2023,Senior,Full-time,Principal Data Scientist,80000,EUR,85847,ES,Full-Remote,ES,LARGE,8000.0
2023,Mid/Intermediate level,Contractor,ML Engineer,30000,USD,30000,US,Full-Remote,US,SMALL,3000.0
2023,Mid/Intermediate level,Contractor,ML Engineer,25500,USD,25500,US,Full-Remote,US,SMALL,2550.0
2023,Senior,Full-time,Data Scientist,175000,USD,175000,CA,Full-Remote,CA,MEDIUM,17500.0
2023,Senior,Full-time,Data Scientist,120000,USD,120000,CA,Full-Remote,CA,MEDIUM,12000.0
2023,Senior,Full-time,Applied Scientist,222200,USD,222200,US,On-Site,US,LARGE,22220.0
2023,Senior,Full-time,Applied Scientist,136000,USD,136000,US,On-Site,US,LARGE,13600.0
2023,Senior,Full-time,Data Scientist,219000,USD,219000,CA,On-Site,CA,MEDIUM,21900.0
2023,Senior,Full-time,Data Scientist,141000,USD,141000,CA,On-Site,CA,MEDIUM,14100.0
2023,Senior,Full-time,Data Scientist,147100,USD,147100,US,On-Site,US,MEDIUM,14710.0
2023,Senior,Full-time,Data Scientist,90700,USD,90700,US,On-Site,US,MEDIUM,9070.0
2023,Senior,Full-time,Data Analyst,130000,USD,130000,US,Full-Remote,US,MEDIUM,13000.0
2023,Senior,Full-time,Data Analyst,100000,USD,100000,US,Full-Remote,US,MEDIUM,10000.0
2023,Entry level,Full-time,Applied Scientist,213660,USD,213660,US,On-Site,US,LARGE,21366.0
2023,Entry level,Full-time,Applied Scientist,130760,USD,130760,US,On-Site,US,LARGE,13076.0
2023,Senior,Full-time,Data Modeler,147100,USD,147100,US,On-Site,US,MEDIUM,14710.0
2023,Senior,Full-time,Data Modeler,90700,USD,90700,US,On-Site,US,MEDIUM,9070.0
2023,Senior,Full-time,Data Scientist,170000,USD,170000,US,On-Site,US,MEDIUM,17000.0
2023,Senior,Full-time,Data Scientist,150000,USD,150000,US,On-Site,US,MEDIUM,15000.0
2023,Mid/Intermediate level,Full-time,Data Analyst,150000,USD,150000,US,Full-Remote,US,MEDIUM,15000.0
2023,Mid/Intermediate level,Full-time,Data Analyst,110000,USD,110000,US,Full-Remote,US,MEDIUM,11000.0
2023,Senior,Full-time,Research Engineer,275000,USD,275000,DE,On-Site,DE,MEDIUM,27500.0
2023,Senior,Full-time,Research Engineer,174000,USD,174000,DE,On-Site,DE,MEDIUM,17400.0
2023,Senior,Full-time,Analytics Engineer,230000,USD,230000,GB,Full-Remote,GB,MEDIUM,23000.0
2023,Senior,Full-time,Analytics Engineer,143200,USD,143200,GB,Full-Remote,GB,MEDIUM,14320.0
2023,Senior,Full-time,Business Intelligence Engineer,225000,USD,225000,US,On-Site,US,MEDIUM,22500.0
2023,Senior,Full-time,Business Intelligence Engineer,156400,USD,156400,US,On-Site,US,MEDIUM,15640.0
2023,Senior,Full-time,Machine Learning Engineer,200000,USD,200000,US,On-Site,US,MEDIUM,20000.0
2023,Senior,Full-time,Machine Learning Engineer,130000,USD,130000,US,On-Site,US,MEDIUM,13000.0
2023,Senior,Full-time,Data Strategist,90000,USD,90000,CA,On-Site,CA,MEDIUM,9000.0
2023,Senior,Full-time,Data Strategist,72000,USD,72000,CA,On-Site,CA,MEDIUM,7200.0
2023,Senior,Full-time,Data Engineer,253200,USD,253200,US,On-Site,US,MEDIUM,25320.0
2023,Senior,Full-time,Data Engineer,90700,USD,90700,US,On-Site,US,MEDIUM,9070.0
2023,Senior,Full-time,Computer Vision Engineer,342810,USD,342810,US,On-Site,US,MEDIUM,34281.0
2023,Senior,Full-time,Computer Vision Engineer,184590,USD,184590,US,On-Site,US,MEDIUM,18459.0
2023,Mid/Intermediate level,Full-time,Data Engineer,162500,USD,162500,US,On-Site,US,MEDIUM,16250.0
2023,Mid/Intermediate level,Full-time,Data Engineer,130000,USD,130000,US,On-Site,US,MEDIUM,13000.0
2023,Mid/Intermediate level,Full-time,Data Analyst,105380,USD,105380,US,On-Site,US,MEDIUM,10538.0
2023,Mid/Intermediate level,Full-time,Data Analyst,64500,USD,64500,US,On-Site,US,MEDIUM,6450.0
2023,Entry level,Full-time,Data Quality Analyst,100000,USD,100000,NG,Full-Remote,NG,LARGE,10000.0
2023,Entry level,Full-time,Compliance Data Analyst,30000,USD,30000,NG,Full-Remote,NG,LARGE,3000.0
2022,Mid/Intermediate level,Full-time,Machine Learning Engineer,1650000,INR,20984,IN,Half-Remote,IN,LARGE,330000.0
