system_id,RetirementSystemName,NumberofPlans,NumberofEmployers,fy,fund_id,actives_tot,InactiveVestedMembers,InactiveNonVested,beneficiaries_tot,beneficiaries_ServiceRetirees,beneficiaries_survivors,beneficiaries_SpousalSurvivors,beneficiaries_other,DROPMembers,OtherMembers,TotMembership,BegMktAssets_net,contrib_EE_regular,contrib_ER_regular,contrib_ER_state,contrib_EE_PurchaseService,contrib_EE_other,contrib_ER_other,contrib_other,contrib_tot,FairValueChange_investments,FairValueChange_RealEstate,income_interest,income_dividends,income_InterestAndDividends,income_RealEstate,income_PrivateEquity,income_alternatives,income_international,income_OtherInvestments,expense_RealEstate,expense_PrivateEquity,expense_alternatives,expense_OtherInvestments,expense_investments,income_SecuritiesLending,expense_SecuritiesLending,income_SecuritiesLendingRebate,income_OtherAdditions,income_net,expense_TotBenefits,expense_RetBenefits,expense_DisabilityBenefits,expense_DeathBenefits,expense_DROPBenefits,expense_SurvivorBenefits,expense_COLABenefits,expense_LumpSumBenefits,expense_OtherBenefits,expense_refunds,expense_AdminExpenses,expense_Depreciation,expense_OtherDeductions,expense_net,adjustment_MktAssets,MktAssets_net,ppd_system_directory_listed,RetirementSystemDesc,sys_DataStartYear,sys_DataEndYear,RetirementSystemStateAbbrev,Source,L
1,Alabama ERS,2,1141,2001,1,78019,7033,,26653,,,,,,,111705,8172310,133080,130081,,,,,1370,264531,-909810,,,,354709,,,,,,,,,,-1624,,-19829,-19439,,-290634,,-387370,,-24985,,,,,,-1544,-4850,-330,-2693,-421772,,7459904,1,"RSA administers pension and other benefits for most public employees in Alabama. The System consists of the Teachers' Retirement System; the Employees' Retirement System, which includes state employees, state police officers, and employees of political subdivisions that have elected to participate in the RSA; and the Judicial Retirement Fund.",2001,2022,AL,2014 ERS TRS CAFR p 29,
1,Alabama ERS,2,1141,2002,1,80582,7835,,27335,,,,,,,115752,7459904,151401,132109,,,,,2176,285686,-986224,,,,307622,,,,,,,,,,-2416,,-4504,-4169,,-394007,,-406626,,-24994,,,,,,-8388,-5888,-235,-2022,-448153,,6617744,1,"RSA administers pension and other benefits for most public employees in Alabama. The System consists of the Teachers' Retirement System; the Employees' Retirement System, which includes state employees, state police officers, and employees of political subdivisions that have elected to participate in the RSA; and the Judicial Retirement Fund.",2001,2022,AL,2014 ERS TRS CAFR p 29,
1,Alabama ERS,2,1141,2003,1,81876,9006,,25973,,,,,,,119566,6617744,162105,162855,,,,,2521,327481,681444,,,,279667,,,,,,,,,,-2408,,-2449,-2181,,1287257,,-440991,,-25139,,,,,,-820,-6165,-278,-2125,-475518,,7429483,1,"RSA administers pension and other benefits for most public employees in Alabama. The System consists of the Teachers' Retirement System; the Employees' Retirement System, which includes state employees, state police officers, and employees of political subdivisions that have elected to participate in the RSA; and the Judicial Retirement Fund.",2001,2022,AL,2014 ERS TRS CAFR p 29,
1,Alabama ERS,2,1141,2004,1,82642,9490,,29227,,,,,923,,122282,7429483,169343,179707,,,,,1639,350689,472717,,,,276094,,,,,,,,,,-2402,,-3688,-3401,,1098411,,-466561,,-31509,,,,,,-3798,-6236,-269,-2210,-510583,,8017311,1,"RSA administers pension and other benefits for most public employees in Alabama. The System consists of the Teachers' Retirement System; the Employees' Retirement System, which includes state employees, state police officers, and employees of political subdivisions that have elected to participate in the RSA; and the Judicial Retirement Fund.",2001,2022,AL,2014 ERS TRS CAFR p 29,
1,Alabama ERS,2,1141,2005,1,81581,9552,,30270,,,,,1440,,122843,8017311,160478,204789,,,,,2233,367500,557703,,,,303051,,,,,,,,,,-2654,,-15766,-15310,,1227860,,-505549,,-31011,,,,,,,-7279,-294,-3111,-547244,,8697927,1,"RSA administers pension and other benefits for most public employees in Alabama. The System consists of the Teachers' Retirement System; the Employees' Retirement System, which includes state employees, state police officers, and employees of political subdivisions that have elected to participate in the RSA; and the Judicial Retirement Fund.",2001,2022,AL,2014 ERS TRS CAFR p 29,
1,Alabama ERS,2,1141,2006,1,83170,10008,,31787,,,,,1753,,126718,8697927,186482,250666,,,,,3141,440289,386240,,,,339057,,,,,,,,,,-3218,,-34029,-33428,,1164744,,-570570,,-31825,,,,,,,-8282,-337,-3368,-614382,,9248289,1,"RSA administers pension and other benefits for most public employees in Alabama. The System consists of the Teachers' Retirement System; the Employees' Retirement System, which includes state employees, state police officers, and employees of political subdivisions that have elected to participate in the RSA; and the Judicial Retirement Fund.",2001,2022,AL,2014 ERS TRS CAFR p 29,
1,Alabama ERS,2,1141,2007,1,84814,10467,,32866,,,,,1905,,130052,9248289,184150,286561,,,,,2626,473337,1275483,,,,355772,,,,,,,,,,-3727,,-57225,-56480,,2104510,,-637017,,-32012,,,,,,,-8287,-298,-3034,-680648,,10672151,1,"RSA administers pension and other benefits for most public employees in Alabama. The System consists of the Teachers' Retirement System; the Employees' Retirement System, which includes state employees, state police officers, and employees of political subdivisions that have elected to participate in the RSA; and the Judicial Retirement Fund.",2001,2022,AL,2014 ERS TRS CAFR p 29,
1,Alabama ERS,2,1141,2008,1,87016,10921,,34117,,,,,2039,,134093,10672151,192319,339219,,,,,2042,533580,-1966656,,,,347784,,,,,,,,,,-3755,,-30012,-27947,,-1078836,,-678054,,-31470,,,,,,,-10418,-311,-3541,-723794,,8869521,1,"RSA administers pension and other benefits for most public employees in Alabama. The System consists of the Teachers' Retirement System; the Employees' Retirement System, which includes state employees, state police officers, and employees of political subdivisions that have elected to participate in the RSA; and the Judicial Retirement Fund.",2001,2022,AL,2014 ERS TRS CAFR p 29,
1,Alabama ERS,2,1141,2009,1,88338,11500,,35256,,,,,2184,,137278,8869521,211049,461465,,,,,1933,674447,-1187135,,,,292048,,,,,,,,,,-2662,,-5252,-3189,,-212676,,-719251,,-32785,,,,,,-14,-9965,-2038,-2772,-766825,,7890020,1,"RSA administers pension and other benefits for most public employees in Alabama. The System consists of the Teachers' Retirement System; the Employees' Retirement System, which includes state employees, state police officers, and employees of political subdivisions that have elected to participate in the RSA; and the Judicial Retirement Fund.",2001,2022,AL,2014 ERS TRS CAFR p 29,
1,Alabama ERS,2,1141,2010,1,87989,11838,,36733,,,,,2371,,138931,7890020,197534,388712,,,,,1790,588036,442652,,,,275218,,,,,,,,,,-2398,,-2658,-1316,,1306638,,-750186,,-34103,,,,,,,-10651,-2111,-1633,-798684,,8397974,1,"RSA administers pension and other benefits for most public employees in Alabama. The System consists of the Teachers' Retirement System; the Employees' Retirement System, which includes state employees, state police officers, and employees of political subdivisions that have elected to participate in the RSA; and the Judicial Retirement Fund.",2001,2022,AL,2014 ERS TRS CAFR p 29,
